final_equity,total_return_pct,cagr,sharpe_ratio,sortino_ratio,calmar_ratio,profit_factor,win_rate,max_drawdown,equity_curve,n_trades,params,segment
11644.73,16.45,0.1364,0.7374,0.9447,0.7297,1.8686,40.0,-0.187,"date
2019-03-15    10000.000000
2019-03-18     9985.007496
2019-03-19     9991.800932
2019-03-20     9980.761599
2019-03-21    10210.068438
                  ...     
2020-05-18    11644.725798
2020-05-19    11644.725798
2020-05-20    11644.725798
2020-05-21    11644.725798
2020-05-22    11644.725798
Name: equity, Length: 301, dtype: float64",15,"{'fast': 12, 'slow': 32}",1
12551.95,25.52,0.2104,1.1451,1.1777,1.4722,2.0609,35.71,-0.1429,"date
2020-05-26    10000.000000
2020-05-27     9985.007496
2020-05-28     9947.552005
2020-05-29     9932.638134
2020-06-01     9909.872534
                  ...     
2021-07-28    12551.951278
2021-07-29    12551.951278
2021-07-30    12551.951278
2021-08-02    12551.951278
2021-08-03    12551.951278
Name: equity, Length: 301, dtype: float64",14,"{'fast': 12, 'slow': 20}",2
8093.73,-19.06,-0.1628,-0.8434,-0.8168,-0.5128,0.5469,30.77,-0.3174,"date
2021-08-04    10000.000000
2021-08-05     9985.007496
2021-08-06     9982.936937
2021-08-09     9943.964792
2021-08-10     9878.782741
                  ...     
2022-10-06     8874.724591
2022-10-07     8423.419621
2022-10-10     8243.974819
2022-10-11     8093.730947
2022-10-12     8093.730947
Name: equity, Length: 301, dtype: float64",13,"{'fast': 12, 'slow': 20}",3
11521.74,15.22,0.1264,0.6833,0.7476,0.8547,1.7947,50.0,-0.1478,"date
2022-10-13    10000.000000
2022-10-14    10000.000000
2022-10-17     9985.007496
2022-10-18    10025.784833
2022-10-19     9940.868158
                  ...     
2023-12-18    11521.743664
2023-12-19    11521.743664
2023-12-20    11521.743664
2023-12-21    11521.743664
2023-12-22    11521.743664
Name: equity, Length: 301, dtype: float64",12,"{'fast': 12, 'slow': 20}",4
