final_equity,total_return_pct,cagr,sharpe_ratio,sortino_ratio,calmar_ratio,profit_factor,win_rate,max_drawdown,equity_curve,n_trades,params,segment
16838.11,68.38,0.5491,2.29,2.9552,6.2759,7.2158,66.67,-0.0875,"date
2019-03-15    10000.000000
2019-03-18     9985.007496
2019-03-19     9905.879148
2019-03-20     9992.442278
2019-03-21    10360.464382
                  ...     
2020-05-18    16655.577827
2020-05-19    16559.333284
2020-05-20    16881.385727
2020-05-21    16755.524275
2020-05-22    16838.111125
Name: equity, Length: 301, dtype: float64",9,"{'fast': 16, 'slow': 32}",1
14822.89,48.23,0.3918,1.5288,1.7189,1.968,4.7913,62.5,-0.1991,"date
2020-05-26    10000.000000
2020-05-27     9985.007496
2020-05-28     9989.405093
2020-05-29     9979.674978
2020-06-01    10102.402052
                  ...     
2021-07-28    14822.890521
2021-07-29    14822.890521
2021-07-30    14822.890521
2021-08-02    14822.890521
2021-08-03    14822.890521
Name: equity, Length: 301, dtype: float64",8,"{'fast': 16, 'slow': 32}",2
11191.56,11.92,0.0992,0.6044,0.6441,0.4156,1.5615,55.56,-0.2387,"date
2021-08-04    10000.000000
2021-08-05     9985.007496
2021-08-06     9922.505759
2021-08-09     9922.505759
2021-08-10     9922.505759
                  ...     
2022-10-06    11191.556028
2022-10-07    11191.556028
2022-10-10    11191.556028
2022-10-11    11191.556028
2022-10-12    11191.556028
Name: equity, Length: 301, dtype: float64",9,"{'fast': 16, 'slow': 32}",3
11384.94,13.85,0.1151,0.7404,0.8373,0.835,1.8868,33.33,-0.1379,"date
2022-10-13    10000.000000
2022-10-14    10000.000000
2022-10-17    10000.000000
2022-10-18    10000.000000
2022-10-19     9985.007496
                  ...     
2023-12-18    11341.245026
2023-12-19    11384.937920
2023-12-20    11384.937920
2023-12-21    11384.937920
2023-12-22    11384.937920
Name: equity, Length: 301, dtype: float64",15,"{'fast': 12, 'slow': 26}",4
