final_equity,total_return_pct,cagr,sharpe_ratio,sortino_ratio,calmar_ratio,profit_factor,win_rate,max_drawdown,equity_curve,n_trades,params,segment
43717.4,337.17,2.4526,2.5376,2.8817,9.7332,11.25,44.44,-0.252,"date
2019-03-15    10000.000000
2019-03-18    10000.000000
2019-03-19    10000.000000
2019-03-20    10000.000000
2019-03-21    10000.000000
                  ...     
2020-05-18    43717.399663
2020-05-19    43717.399663
2020-05-20    43717.399663
2020-05-21    43717.399663
2020-05-22    43717.399663
Name: equity, Length: 301, dtype: float64",9,"{'fast': 8, 'slow': 32}",1
26111.52,161.12,1.2394,1.9647,2.732,5.6165,4.3043,72.73,-0.2207,"date
2020-05-26    10000.000000
2020-05-27     9985.007496
2020-05-28     9794.757958
2020-05-29     9780.073163
2020-06-01    10519.141862
                  ...     
2021-07-28    25358.264424
2021-07-29    25358.264424
2021-07-30    25320.246037
2021-08-02    26148.165636
2021-08-03    26111.518414
Name: equity, Length: 301, dtype: float64",11,"{'fast': 12, 'slow': 32}",2
10136.77,1.37,0.0115,0.2369,0.254,0.0282,1.0106,33.33,-0.4075,"date
2021-08-04    10000.000000
2021-08-05     9985.007496
2021-08-06     9753.370932
2021-08-09     9753.370932
2021-08-10     9753.370932
                  ...     
2022-10-06    10136.767339
2022-10-07    10136.767339
2022-10-10    10136.767339
2022-10-11    10136.767339
2022-10-12    10136.767339
Name: equity, Length: 301, dtype: float64",12,"{'fast': 12, 'slow': 20}",3
17503.79,75.04,0.6004,1.3984,1.5805,2.1921,2.311,36.36,-0.2739,"date
2022-10-13    10000.000000
2022-10-14    10000.000000
2022-10-17    10000.000000
2022-10-18    10000.000000
2022-10-19    10000.000000
                  ...     
2023-12-18    17498.159530
2023-12-19    17854.953122
2023-12-20    17155.248747
2023-12-21    17666.143955
2023-12-22    17503.794750
Name: equity, Length: 301, dtype: float64",11,"{'fast': 12, 'slow': 32}",4
