final_equity,total_return_pct,cagr,sharpe_ratio,sortino_ratio,calmar_ratio,profit_factor,win_rate,max_drawdown,equity_curve,n_trades,params,segment
13411.42,34.11,0.3023,1.6557,192705401953832.6,201.6665,inf,100.0,-0.0015,"date
2019-04-12    10000.000000
2019-04-15    10000.000000
2019-04-16    10000.000000
2019-04-17    10000.000000
2019-04-18    10000.000000
                  ...     
2020-05-18    13411.417735
2020-05-19    13411.417735
2020-05-20    13411.417735
2020-05-21    13411.417735
2020-05-22    13411.417735
Name: equity, Length: 281, dtype: float64",4,"{'rsi_period': 20, 'lower': 35}",1
10542.4,5.42,0.0487,1.553,38526523991801.59,32.4735,inf,100.0,-0.0015,"date
2020-06-23    10000.00000
2020-06-24    10000.00000
2020-06-25    10000.00000
2020-06-26    10000.00000
2020-06-29    10000.00000
                 ...     
2021-07-28    10542.39634
2021-07-29    10542.39634
2021-07-30    10542.39634
2021-08-02    10542.39634
2021-08-03    10542.39634
Name: equity, Length: 281, dtype: float64",2,"{'rsi_period': 20, 'lower': 35}",2
9975.18,-0.25,-0.0022,0.0384,0.023,-0.0167,0.951,62.5,-0.1338,"date
2021-09-01    10000.000000
2021-09-02    10000.000000
2021-09-03    10000.000000
2021-09-07    10000.000000
2021-09-08    10000.000000
                  ...     
2022-10-06    10381.438445
2022-10-07    10365.874070
2022-10-10    10145.049001
2022-10-11     9975.116331
2022-10-12     9975.176090
Name: equity, Length: 281, dtype: float64",8,"{'rsi_period': 20, 'lower': 35}",3
10190.51,1.91,0.0171,0.7193,0.2835,1.0632,14.1593,66.67,-0.0161,"date
2022-11-10    10000.000000
2022-11-11    10000.000000
2022-11-14    10000.000000
2022-11-15    10000.000000
2022-11-16    10000.000000
                  ...     
2023-12-18    10190.509022
2023-12-19    10190.509022
2023-12-20    10190.509022
2023-12-21    10190.509022
2023-12-22    10190.509022
Name: equity, Length: 281, dtype: float64",3,"{'rsi_period': 20, 'lower': 35}",4
