final_equity,total_return_pct,cagr,sharpe_ratio,sortino_ratio,calmar_ratio,profit_factor,win_rate,max_drawdown,equity_curve,n_trades,params,segment
15400.2,54.0,0.5707,1.7961,2.0332,3.0595,inf,100.0,-0.1865,"date
2019-06-10    10000.000000
2019-06-11    10000.000000
2019-06-12    10000.000000
2019-06-13    10000.000000
2019-06-14    10000.000000
                  ...     
2020-05-18    15233.253561
2020-05-19    15145.227944
2020-05-20    15439.778309
2020-05-21    15324.664955
2020-05-22    15400.199196
Name: equity, Length: 242, dtype: float64",2,"{'short': 20, 'long': 60}",1
11189.84,11.9,0.1247,0.5694,0.7121,0.6122,2.2829,40.0,-0.2038,"date
2020-08-18     9985.007496
2020-08-19     9997.533440
2020-08-20    10219.375376
2020-08-21    10746.006672
2020-08-24    10874.530291
                  ...     
2021-07-28    11025.646562
2021-07-29    11075.840762
2021-07-30    11092.574146
2021-08-02    11066.716925
2021-08-03    11189.835952
Name: equity, Length: 242, dtype: float64",5,"{'short': 5, 'long': 60}",2
9915.29,-0.85,-0.0089,0.066,0.0795,-0.0425,0.8898,50.0,-0.2085,"date
2021-10-27     9985.007496
2021-10-28    10234.548147
2021-10-29    10048.735284
2021-11-01     9992.384859
2021-11-02    10063.490009
                  ...     
2022-10-06     9915.290962
2022-10-07     9915.290962
2022-10-10     9915.290962
2022-10-11     9915.290962
2022-10-12     9915.290962
Name: equity, Length: 242, dtype: float64",4,"{'short': 5, 'long': 60}",3
12467.42,24.67,0.2373,1.363,1.8337,1.38,3.1746,50.0,-0.1719,"date
2022-12-08    10000.000000
2022-12-09    10000.000000
2022-12-12    10000.000000
2022-12-13    10000.000000
2022-12-14    10000.000000
                  ...     
2023-12-18    12633.847736
2023-12-19    12701.566467
2023-12-20    12565.484084
2023-12-21    12555.807278
2023-12-22    12467.424553
Name: equity, Length: 262, dtype: float64",4,"{'short': 5, 'long': 40}",4
