time,symbol,action,price,units
2025-10-13 22:35:27.771241,AAPL,BUY,212.68861389160156,46.97007431291777
2025-10-13 22:35:27.778317,AAPL,SELL,199.72332763671875,46.97007431291777
2025-10-13 22:35:27.790800,AAPL,BUY,212.1991729736328,44.12018554012238
2025-10-13 22:35:27.801680,AAPL,SELL,213.0082550048828,44.12018554012238
2025-10-13 22:35:27.802681,AAPL,BUY,229.0900115966797,40.94101326165376
2025-10-13 22:35:27.824681,AAPL,SELL,210.69427490234375,40.94101326165376
