final_equity,total_return_pct,cagr,sharpe_ratio,sortino_ratio,calmar_ratio,profit_factor,win_rate,max_drawdown,equity_curve,n_trades,params,segment
11117.47,11.17,0.1,1.034,0.8237,3.3909,inf,100.0,-0.0295,"date
2019-04-12    10000.000000
2019-04-15    10000.000000
2019-04-16    10000.000000
2019-04-17    10000.000000
2019-04-18    10000.000000
                  ...     
2020-05-18    11117.471677
2020-05-19    11117.471677
2020-05-20    11117.471677
2020-05-21    11117.471677
2020-05-22    11117.471677
Name: equity, Length: 281, dtype: float64",2,"{'rsi_period': 20, 'lower': 30}",1
10065.16,0.65,0.0059,0.1123,0.0288,0.136,1.8776,50.0,-0.0431,"date
2020-06-23    10000.000000
2020-06-24    10000.000000
2020-06-25    10000.000000
2020-06-26    10000.000000
2020-06-29    10000.000000
                  ...     
2021-07-28    10065.156045
2021-07-29    10065.156045
2021-07-30    10065.156045
2021-08-02    10065.156045
2021-08-03    10065.156045
Name: equity, Length: 281, dtype: float64",2,"{'rsi_period': 20, 'lower': 30}",2
11390.57,13.91,0.1243,1.473,2.1002,9.9912,inf,100.0,-0.0124,"date
2021-09-01    10000.000000
2021-09-02    10000.000000
2021-09-03    10000.000000
2021-09-07    10000.000000
2021-09-08    10000.000000
                  ...     
2022-10-06    11390.566808
2022-10-07    11390.566808
2022-10-10    11390.566808
2022-10-11    11390.566808
2022-10-12    11390.566808
Name: equity, Length: 281, dtype: float64",4,"{'rsi_period': 20, 'lower': 30}",3
10285.37,2.85,0.0256,0.4485,0.1519,0.6787,8.615,80.0,-0.0378,"date
2022-11-10    10000.000000
2022-11-11    10000.000000
2022-11-14    10000.000000
2022-11-15    10000.000000
2022-11-16    10000.000000
                  ...     
2023-12-18    10285.371258
2023-12-19    10285.371258
2023-12-20    10285.371258
2023-12-21    10285.371258
2023-12-22    10285.371258
Name: equity, Length: 281, dtype: float64",5,"{'rsi_period': 20, 'lower': 30}",4
