timestamp_entry,timestamp_exit,symbol,strategy,qty,entry_price,exit_price,stop_loss,take_profit,pnl_usd,pnl_pct,duration_sec,exit_reason,order_id
1767022537,1767023485,AAPL,sma,234,273.9200134277344,,273.07,274.65,0.0,0.0,948,SL,f48d3503-dd56-4699-87ba-8529ddb36fc0
1767036387,1767036785,AAPL,sma,778,273.6400146484375,,273.39,273.86,0.0,0.0,398,SL,fb1e09e7-2f00-4824-8e65-20c5231141ec
1767036908,1767041428,AAPL,sma,734,273.78948974609375,,273.52,274.02,0.0,0.0,4520,SL,e7734001-797a-4a37-bdeb-edb4682a5fcf
1767111029,1767112614,AAPL,sma,425,273.1700134277344,,272.7,273.57,0.0,0.0,1585,SL,a8d96592-7c79-47ce-a472-d0a6be85492b
1767125835,1767126566,AAPL,sma,931,273.375,,273.16,273.56,0.0,0.0,731,SL,f4179f6d-cfca-448a-b726-807fceea43f4
1767627035,1767630856,AAPL,sma,136,269.9800109863281,,268.54,271.23,0.0,0.0,3821,SL,abc85715-001a-4a29-ac75-d775fb411ac7
1767637853,1767639555,AAPL,sma,428,267.4801025390625,,267.02,267.88,0.0,0.0,1702,SL,c870c9c9-9c5f-4a01-a21c-735a62551760
1767644427,1767645282,AAPL,sma,467,266.94000244140625,,266.52,267.3,0.0,0.0,855,TP,b85f24de-5f41-4979-ae90-1c8d1fcc6c3b
1767728122,1767729403,AAPL,sma,568,262.9599914550781,,262.61,263.26,0.0,0.0,1281,SL,c92cd2c4-538c-47d4-830a-379030e608be
1767732025,1767732624,AAPL,sma,615,262.94000244140625,,262.62,263.22,0.0,0.0,599,SL,e6a7ff49-581f-49ae-b596-5e056f825c54
1767801920,1767802957,AAPL,sma,277,261.9849853515625,,261.28,262.6,0.0,0.0,1037,SL,ea94078e-075f-4296-b20e-826b35be4aee
1767812413,1767813537,AAPL,sma,384,262.010009765625,,261.5,262.45,0.0,0.0,1124,SL,4ae17669-d149-4d21-a40a-1c232caf4014
1767814660,1767814994,AAPL,sma,430,262.0509948730469,,261.6,262.44,0.0,0.0,334,TP,c673c491-80ae-4430-9527-270d68d4303c
1767890566,1767890810,AAPL,sma,238,257.6650085449219,,256.85,258.38,0.0,0.0,244,TP,9c2981bf-475a-451e-8592-859e5d2f016d
1767897311,1767899716,AAPL,sma,364,257.1549987792969,,256.62,257.62,0.0,0.0,2405,SL,dc0ad734-e9de-442d-a7c4-4eaf0b2db02a
1767902330,1767903760,AAPL,sma,410,257.2300109863281,,256.75,257.64,0.0,0.0,1430,TP,6b2c4e30-9a31-4dba-ad94-51c8ce24976a
1767972629,1767976068,AAPL,sma,153,258.42999267578125,,257.15,259.54,0.0,0.0,3439,SL,1c719bb6-8129-4367-b1d7-31852fd3a02f
1767978314,1767978375,AAPL,sma,294,258.4049987792969,,257.74,258.42,0.0,0.0,61,TP,801c5c20-3cf0-433c-a0aa-89ea0bb6053d
