final_equity,total_return_pct,cagr,sharpe_ratio,sortino_ratio,calmar_ratio,profit_factor,win_rate,max_drawdown,equity_curve,n_trades,params,segment
12678.42,26.78,0.2419,1.073,0.5161,2.3598,17.8507,80.0,-0.1025,"date
2019-04-18    10000.000000
2019-04-22    10000.000000
2019-04-23    10000.000000
2019-04-24    10000.000000
2019-04-25    10000.000000
                  ...     
2020-05-18    12678.418803
2020-05-19    12678.418803
2020-05-20    12678.418803
2020-05-21    12678.418803
2020-05-22    12678.418803
Name: equity, Length: 277, dtype: float64",10,"{'window': 25, 'num_std': 1.5}",1
10310.43,3.1,0.0278,1.1169,0.9578,2.0733,4.9254,80.0,-0.0134,"date
2020-06-22    10000.000000
2020-06-23    10000.000000
2020-06-24    10000.000000
2020-06-25    10000.000000
2020-06-26    10000.000000
                  ...     
2021-07-28    10310.433785
2021-07-29    10310.433785
2021-07-30    10310.433785
2021-08-02    10310.433785
2021-08-03    10310.433785
Name: equity, Length: 282, dtype: float64",5,"{'window': 20, 'num_std': 2}",2
10888.96,8.89,0.0794,0.9892,0.9927,2.7299,2.666,53.85,-0.0291,"date
2021-08-31    10000.000000
2021-09-01    10000.000000
2021-09-02    10000.000000
2021-09-03    10000.000000
2021-09-07    10000.000000
                  ...     
2022-10-06    10905.237774
2022-10-07    10905.237774
2022-10-10    10905.237774
2022-10-11    10888.888092
2022-10-12    10888.958778
Name: equity, Length: 282, dtype: float64",13,"{'window': 20, 'num_std': 2}",3
9779.55,-2.2,-0.0201,-0.6615,-0.0771,-0.648,0.0,0.0,-0.0311,"date
2022-11-16    10000.000000
2022-11-17    10000.000000
2022-11-18    10000.000000
2022-11-21    10000.000000
2022-11-22    10000.000000
                  ...     
2023-12-18     9779.552674
2023-12-19     9779.552674
2023-12-20     9779.552674
2023-12-21     9779.552674
2023-12-22     9779.552674
Name: equity, Length: 277, dtype: float64",2,"{'window': 25, 'num_std': 2}",4
