final_equity,total_return_pct,cagr,sharpe_ratio,sortino_ratio,calmar_ratio,profit_factor,win_rate,max_drawdown,equity_curve,n_trades,params,segment
29863.42,198.63,1.8758,2.0981,2.3086,5.5151,inf,100.0,-0.3401,"date
2019-05-10    10000.000000
2019-05-13    10000.000000
2019-05-14    10000.000000
2019-05-15    10000.000000
2019-05-16    10000.000000
                  ...     
2020-05-18    29789.292274
2020-05-19    29583.527405
2020-05-20    29859.954617
2020-05-21    30300.772492
2020-05-22    29863.421805
Name: equity, Length: 262, dtype: float64",3,"{'short': 5, 'long': 40}",1
20410.28,104.1,0.9914,1.5145,1.7938,2.9388,6.538,50.0,-0.3374,"date
2020-07-21     9985.007496
2020-07-22    10137.613124
2020-07-23     9633.001738
2020-07-24     9021.369766
2020-07-27     9801.905952
                  ...     
2021-07-28    18633.411201
2021-07-29    19508.085661
2021-07-30    19791.770848
2021-08-02    20438.920759
2021-08-03    20410.275168
Name: equity, Length: 262, dtype: float64",6,"{'short': 5, 'long': 40}",2
10704.37,7.04,0.0679,0.3697,0.3981,0.1945,1.1788,40.0,-0.3492,"date
2021-09-29     9985.007496
2021-09-30     9910.501273
2021-10-01     9907.178393
2021-10-04     9987.819074
2021-10-05     9975.805225
                  ...     
2022-10-06    10704.366939
2022-10-07    10704.366939
2022-10-10    10704.366939
2022-10-11    10704.366939
2022-10-12    10704.366939
Name: equity, Length: 262, dtype: float64",5,"{'short': 5, 'long': 40}",3
10861.67,8.62,0.0831,0.4021,0.4446,0.264,1.2037,37.5,-0.3147,"date
2022-12-08    10000.000000
2022-12-09    10000.000000
2022-12-12    10000.000000
2022-12-13    10000.000000
2022-12-14    10000.000000
                  ...     
2023-12-18    10858.177334
2023-12-19    11079.579367
2023-12-20    10645.390036
2023-12-21    10962.417135
2023-12-22    10861.674172
Name: equity, Length: 262, dtype: float64",8,"{'short': 5, 'long': 40}",4
