final_equity,total_return_pct,cagr,sharpe_ratio,sortino_ratio,calmar_ratio,profit_factor,win_rate,max_drawdown,equity_curve,n_trades,params,segment
10698.02,6.98,0.0613,0.4048,0.2659,0.6448,1.7056,20.0,-0.095,"date
2019-04-04    10000.000000
2019-04-05    10000.000000
2019-04-08    10000.000000
2019-04-09    10000.000000
2019-04-10    10000.000000
                  ...     
2020-05-18    10698.019519
2020-05-19    10698.019519
2020-05-20    10698.019519
2020-05-21    10698.019519
2020-05-22    10698.019519
Name: equity, Length: 287, dtype: float64",5,"{'window': 15, 'num_std': 2}",1
12122.95,21.23,0.1849,1.2838,0.9571,3.4641,7.4788,66.67,-0.0534,"date
2020-06-15    10000.000000
2020-06-16    10000.000000
2020-06-17    10000.000000
2020-06-18    10000.000000
2020-06-19    10000.000000
                  ...     
2021-07-28    12122.946689
2021-07-29    12122.946689
2021-07-30    12122.946689
2021-08-02    12122.946689
2021-08-03    12122.946689
Name: equity, Length: 287, dtype: float64",6,"{'window': 15, 'num_std': 2}",2
10023.13,0.23,0.002,0.0673,0.0153,0.0285,0.9961,40.0,-0.0714,"date
2021-08-24    10000.00000
2021-08-25    10000.00000
2021-08-26    10000.00000
2021-08-27    10000.00000
2021-08-30    10000.00000
                 ...     
2022-10-06    10023.12616
2022-10-07    10023.12616
2022-10-10    10023.12616
2022-10-11    10023.12616
2022-10-12    10023.12616
Name: equity, Length: 287, dtype: float64",5,"{'window': 15, 'num_std': 2}",3
8700.78,-12.99,-0.1154,-0.9648,-0.3007,-0.8883,0.1152,33.33,-0.1299,"date
2022-11-02    10000.000000
2022-11-03    10000.000000
2022-11-04    10000.000000
2022-11-07     9985.007496
2022-11-08     9692.165348
                  ...     
2023-12-18     8700.782322
2023-12-19     8700.782322
2023-12-20     8700.782322
2023-12-21     8700.782322
2023-12-22     8700.782322
Name: equity, Length: 287, dtype: float64",6,"{'window': 15, 'num_std': 2}",4
