final_equity,total_return_pct,cagr,sharpe_ratio,sortino_ratio,calmar_ratio,profit_factor,win_rate,max_drawdown,equity_curve,n_trades,params,segment
10803.98,8.04,0.0842,0.4137,0.4159,0.2788,inf,100.0,-0.302,"date
2019-06-10     9985.007496
2019-06-11     9947.356239
2019-06-12     9901.421522
2019-06-13     9963.921936
2019-06-14     9973.709366
                  ...     
2020-05-18    10872.476337
2020-05-19    10797.215571
2020-05-20    10946.977964
2020-05-21    10815.493592
2020-05-22    10803.979026
Name: equity, Length: 242, dtype: float64",2,"{'short': 20, 'long': 60}",1
11700.61,17.01,0.1785,0.8575,1.0777,0.8061,2.3309,33.33,-0.2214,"date
2020-08-18     9985.007496
2020-08-19     9924.429896
2020-08-20    10155.384222
2020-08-21    10081.553449
2020-08-24    10113.263747
                  ...     
2021-07-28    11681.456047
2021-07-29    11692.878121
2021-07-30    11627.987350
2021-08-02    11624.315831
2021-08-03    11700.608243
Name: equity, Length: 242, dtype: float64",3,"{'short': 10, 'long': 60}",2
7743.55,-22.56,-0.2346,-1.6956,-1.4838,-0.8662,0.0,0.0,-0.2709,"date
2021-10-27     9985.007496
2021-10-28    10021.466136
2021-10-29    10246.086035
2021-11-01    10176.568580
2021-11-02    10292.740229
                  ...     
2022-10-06     7743.554492
2022-10-07     7743.554492
2022-10-10     7743.554492
2022-10-11     7743.554492
2022-10-12     7743.554492
Name: equity, Length: 242, dtype: float64",3,"{'short': 10, 'long': 60}",3
12972.75,29.73,0.3455,1.4267,2.3903,2.1449,5.4127,50.0,-0.1611,"date
2023-02-07     9985.007496
2023-02-08     9954.033619
2023-02-09     9837.972941
2023-02-10     9818.566830
2023-02-13    10125.328156
                  ...     
2023-12-18    12925.290842
2023-12-19    12946.450174
2023-12-20    12854.882027
2023-12-21    12956.162814
2023-12-22    12972.745357
Name: equity, Length: 222, dtype: float64",4,"{'short': 5, 'long': 80}",4
