final_equity,total_return_pct,cagr,sharpe_ratio,sortino_ratio,calmar_ratio,profit_factor,win_rate,max_drawdown,equity_curve,n_trades,params,segment
10965.5,9.66,0.0878,0.9166,0.4199,2.4857,5.1792,75.0,-0.0353,"date
2019-04-18    10000.000000
2019-04-22    10000.000000
2019-04-23    10000.000000
2019-04-24    10000.000000
2019-04-25    10000.000000
                  ...     
2020-05-18    10965.501386
2020-05-19    10965.501386
2020-05-20    10965.501386
2020-05-21    10965.501386
2020-05-22    10965.501386
Name: equity, Length: 277, dtype: float64",4,"{'window': 25, 'num_std': 2.5}",1
10935.59,9.36,0.0851,1.2031,0.5499,3.223,8.5675,75.0,-0.0264,"date
2020-06-29    10000.000000
2020-06-30    10000.000000
2020-07-01    10000.000000
2020-07-02    10000.000000
2020-07-06    10000.000000
                  ...     
2021-07-28    10935.592645
2021-07-29    10935.592645
2021-07-30    10935.592645
2021-08-02    10935.592645
2021-08-03    10935.592645
Name: equity, Length: 277, dtype: float64",4,"{'window': 25, 'num_std': 2}",2
10051.18,0.51,0.0047,0.0973,0.0505,0.0676,1.0136,44.44,-0.0691,"date
2021-09-08    10000.000000
2021-09-09    10000.000000
2021-09-10    10000.000000
2021-09-13    10000.000000
2021-09-14    10000.000000
                  ...     
2022-10-06    10051.175776
2022-10-07    10051.175776
2022-10-10    10051.175776
2022-10-11    10051.175776
2022-10-12    10051.175776
Name: equity, Length: 277, dtype: float64",9,"{'window': 25, 'num_std': 2}",3
9941.6,-0.58,-0.0053,-0.0988,-0.0405,-0.1655,0.7867,50.0,-0.0322,"date
2022-11-16    10000.000000
2022-11-17    10000.000000
2022-11-18    10000.000000
2022-11-21    10000.000000
2022-11-22    10000.000000
                  ...     
2023-12-18     9941.603245
2023-12-19     9941.603245
2023-12-20     9941.603245
2023-12-21     9941.603245
2023-12-22     9941.603245
Name: equity, Length: 277, dtype: float64",4,"{'window': 25, 'num_std': 2}",4
