final_equity,total_return_pct,cagr,sharpe_ratio,sortino_ratio,calmar_ratio,profit_factor,win_rate,max_drawdown,equity_curve,n_trades,params,segment
7292.63,-27.07,-0.2407,-0.4149,-0.2564,-0.4587,0.4395,66.67,-0.5246,"date
2019-03-29    10000.000000
2019-04-01    10000.000000
2019-04-02    10000.000000
2019-04-03    10000.000000
2019-04-04    10000.000000
                  ...     
2020-05-18     7292.633737
2020-05-19     7292.633737
2020-05-20     7292.633737
2020-05-21     7292.633737
2020-05-22     7292.633737
Name: equity, Length: 290, dtype: float64",15,"{'rsi_period': 10, 'lower': 35}",1
11220.07,12.2,0.1092,0.6087,0.2717,1.1443,inf,100.0,-0.0954,"date
2020-06-23    10000.000000
2020-06-24    10000.000000
2020-06-25    10000.000000
2020-06-26    10000.000000
2020-06-29    10000.000000
                  ...     
2021-07-28    11220.069787
2021-07-29    11220.069787
2021-07-30    11220.069787
2021-08-02    11220.069787
2021-08-03    11220.069787
Name: equity, Length: 281, dtype: float64",2,"{'rsi_period': 20, 'lower': 25}",2
9714.25,-2.86,-0.0258,-0.9318,-0.0833,-0.8464,0.0,0.0,-0.0304,"date
2021-09-01    10000.000000
2021-09-02    10000.000000
2021-09-03    10000.000000
2021-09-07    10000.000000
2021-09-08    10000.000000
                  ...     
2022-10-06    10000.000000
2022-10-07    10000.000000
2022-10-10     9985.007496
2022-10-11     9695.703525
2022-10-12     9714.250554
Name: equity, Length: 281, dtype: float64",1,"{'rsi_period': 20, 'lower': 25}",3
9665.2,-3.35,-0.0302,-0.0336,-0.0105,-0.2173,0.7037,40.0,-0.1389,"date
2022-11-10    10000.000000
2022-11-11    10000.000000
2022-11-14    10000.000000
2022-11-15    10000.000000
2022-11-16    10000.000000
                  ...     
2023-12-18     9665.203074
2023-12-19     9665.203074
2023-12-20     9665.203074
2023-12-21     9665.203074
2023-12-22     9665.203074
Name: equity, Length: 281, dtype: float64",5,"{'rsi_period': 20, 'lower': 25}",4
